"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0017384000000000002,4.5860271776044481,4.5860271776044481,9.7264265912765993,90.268987381545799,9.7264265912765993
0.0017388000000000002,8.1970289806272554,8.1970289806272554,9.7131183226853341,90.278684648334036,9.7131183226853341
0.0017392000000000002,11.808129043487359,11.808129043487359,9.7142787163522613,90.273913154604259,9.7142787163522613
0.0017396000000000002,15.418749832116672,15.418749832116672,9.7298492600403659,90.25473199012751,9.7298492600403659
0.0017399999999999508,19.028316225247139,19.028316225247139,9.7597693732477744,90.221202310526976,9.7597693732477744
0.0017400000000000002,0,19.028316225693189,9.7597693732523574,-9.7597693732523574,9.7597693732523574
0.0017436000000000003,0,15.462637191347408,10.024387960400141,-10.024387960400141,10.024387960400141
0.0017472000000000002,0,11.826466854333372,10.152206321525846,-10.152206321525846,10.152206321525846
0.0017508000000000003,0,8.1689546916205416,10.146373704393786,-10.146373704393786,10.146373704393786
0.0017544000000000001,0,4.5371171815744358,10.011642407671152,-10.011642407671152,10.011642407671152
0.0017579999999999504,0,0.97583780400529463,9.7543677809323981,-9.7543677809323981,9.7543677809323981
0.0017580000000000002,0.97583780395664732,0.97583780395664732,9.7543677809280194,90.24465638126803,9.7543677809280194
0.0017584000000000002,4.5861570799573066,4.5861570799573066,9.7265345028934433,90.268879340026601,9.7265345028934433
0.0017588000000000003,8.1971545597636002,8.1971545597636002,9.7132263134555057,90.278576531984726,9.7132263134555057
0.0017592,11.808250296765911,11.808250296765911,9.7143867686959524,90.273804981007288,9.7143867686959524
0.0017596000000000001,15.418866757598177,15.418866757598177,9.7299573564388009,90.254623776803598,9.7299573564388009
0.00175999999999995,19.028428821685957,19.028428821685957,9.7598774962456964,90.221094074932623,9.7598774962456964
0.0017600000000000001,0,19.028428822137876,9.7598774962503398,-9.7598774962503398,9.7598774962503398
0.0017636000000000002,0,15.462710913955418,10.024495549498976,-10.024495549498976,10.024495549498976
0.0017672,0,11.826502140504498,10.152312027795565,-10.152312027795565,10.152312027795565
0.0017708000000000001,0,8.1689524568856893,10.146476250310155,-10.146476250310155,10.146476250310155
0.0017744,0,4.5370787840745788,10.011740600410333,-10.011740600410333,10.011740600410333
