"Time","Ig:Measured current","<undefined>","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0015900000000000001,346.37578276487625,0,208.52388664721443,99.653624217235119,208.52388664721443
0.0015920000000000001,366.30451466870386,0,204.39483663434817,99.633695485331302,204.39483663434817
0.0015940000000000001,386.22926122469875,0,200.34754737827961,99.613770738775301,200.34754737827961
0.001596,406.15002322985077,0,196.38040033522395,99.593849976770144,196.38040033522395
0.001598,426.06680148099048,0,192.49180826973361,99.573933198519015,192.49180826973361
0.0015999999999999545,445.97959677433562,0,188.680215254784,99.554020403225664,188.680215254784
0.0016000000000000001,445.97959677478894,0,188.68021525469808,-88.680215254698084,188.68021525469808
0.0016020000000000001,427.74407832422969,0,193.59558727500834,-93.595587275008342,193.59558727500834
0.0016040000000000002,408.57218374973763,0,198.04309449009489,-98.043094490094887,198.04309449009489
0.001606,388.55856547589508,0,202.0143524922359,-102.0143524922359,202.0143524922359
0.0016080000000000001,367.79892980944823,0,205.50306483349485,-105.50306483349485,205.50306483349485
0.0016099999999999543,346.39003693980339,0,208.50502302565747,-108.50502302565747,208.50502302565747
0.0016100000000000001,346.39003693930698,0,208.50502302572056,99.653609963060688,208.50502302572056
0.0016120000000000002,366.31876599258476,0,204.37634653762322,99.633681234007412,204.37634653762322
0.0016140000000000002,386.24350969859984,0,200.32942341002959,99.613756490301398,200.32942341002959
0.001616,406.16426885434208,0,196.36263524557262,99.59383573114566,196.36263524557262
0.0016180000000000001,426.08104425664175,0,192.47439495239018,99.573918955743352,192.47439495239018
0.0016199999999999542,445.99383670171227,0,188.66314674421187,99.554006163298283,188.66314674421187
0.0016200000000000001,445.99383670216992,0,188.66314674412516,-88.663146744125157,188.66314674412516
0.0016220000000000002,427.76166753446012,0,193.57917220804015,-93.579172208040148,193.57917220804015
0.0016240000000000002,408.59298628645109,0,198.02738491143245,-98.027384911432449,198.02738491143245
0.0016260000000000001,388.58243532139414,0,201.9993966150995,-101.9993966150995,201.9993966150995
0.0016280000000000001,367.82571170526899,0,205.48890694096363,-105.48890694096363,205.48890694096363
0.0016299999999999538,346.41956720728683,0,208.49170337200806,-108.49170337200806,208.49170337200806
0.0016300000000000002,346.41956720678337,0,208.49170337207207,99.65358043279322,208.49170337207207
0.0016320000000000002,366.34829035459825,0,204.36329063081425,99.633651709645406,204.36329063081425
0.0016340000000000003,386.27302815633141,0,200.31662602751715,99.613726971843676,200.31662602751715
0.0016360000000000001,406.19378140897237,0,196.35009126819969,99.593806218591027,196.35009126819969
0.0016380000000000001,426.11055090935133,0,192.46209936238586,99.573889449090643,192.46209936238586
0.0016399999999999536,446.02333745367497,0,188.65109462319271,99.553976662546319,188.65109462319271
0.0016400000000000002,446.0233374541391,0,188.65109462310477,-88.651094623104768,188.65109462310477
0.0016420000000000002,427.79349459887749,0,193.56796628655025,-93.567966286550245,193.56796628655025
0.0016440000000000003,408.62696759896306,0,198.01705279504057,-98.01705279504057,198.01705279504057
0.0016460000000000001,388.61839367559037,0,201.98996189397292,-101.98996189397292,201.98996189397292
0.0016480000000000002,367.86346557828921,0,205.48038919315036,-105.48038919315036,205.48038919315036
0.0016499999999999534,346.45893158543333,0,208.4841181667172,-108.4841181667172,208.4841181667172
0.0016500000000000002,346.45893158492521,0,208.48411816678183,99.65354106841508,208.48411816678183
0.0016520000000000003,366.38764686065167,0,204.35585562266692,99.633612353139355,204.35585562266692
0.0016540000000000003,386.31237679187069,0,200.3093382424068,99.613687623208136,200.3093382424068
0.0016560000000000001,406.23312217557145,0,196.34294779089609,99.593766877824422,196.34294779089609
0.0016580000000000002,426.14988380858392,0,192.45509733539564,99.573850116191423,192.45509733539564
0.001659999999999953,446.06266248710779,0,188.6442312456216,99.553937337512892,188.6442312456216
0.0016600000000000002,446.06266248757839,0,188.64423124553244,-88.644231245532438,188.64423124553244
0.0016620000000000003,427.83409966699907,0,193.56203053157435,-93.562030531574351,193.56203053157435
0.0016640000000000003,408.66866660557639,0,198.01204979217673,-98.012049792176725,198.01204979217673
0.0016660000000000002,388.66099986923007,0,201.98589296865501,-101.98589296865501,201.98589296865501
0.0016680000000000002,367.90679230756797,0,205.47725195309494,-105.47725195309494,205.47725195309494
0.0016699999999999528,346.50279305440154,0,208.48190658828679,-108.48190658828679,208.48190658828679
0.0016700000000000003,346.50279305388636,0,208.48190658835233,99.653497206946113,208.48190658835233
0.0016720000000000003,366.43149955819575,0,204.35368783642886,99.633568500441811,204.35368783642886
0.0016740000000000001,386.35622071975183,0,200.30721338121572,99.613643779280252,200.30721338121572
0.0016760000000000002,406.27695733554344,0,196.34086500477366,99.59372304266445,196.34086500477366
0.001678,426.1937102024001,0,192.45305579119747,99.573806289797602,192.45305579119747
0.0016799999999999524,446.10648011651693,0,188.64223012670621,99.553893519883488,188.64223012670621
0.0016800000000000001,446.10648011699186,0,188.64223012661623,-88.642230126616226,188.64223012661623
