"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0030996000000000001,27.958422913538609,27.958422913538609,12.664116777021839,87.307924800064626,12.664116777021839
0.0030999999999999123,34.939961563956722,34.939961563956722,12.739118470611732,87.225941567824307,12.739118470611732
0.0031000000000000003,0,34.939961565492546,12.739118470631277,-12.739118470631277,12.739118470631277
0.0031036000000000002,0,25.519845361897353,13.358541200344424,-13.358541200344424,13.358541200344424
0.0031072000000000001,0,15.784937103813647,13.616917258383598,-13.616917258383598,13.616917258383598
0.0031108000000000004,0,5.9967969936483385,13.519361964433831,-13.519361964433831,13.519361964433831
0.0031130360604968415,0,1.2789769243681803e-13,13.285675235510832,-13.285675235510832,13.285675235510832
0.00311303606049693,0,0,13.285675235499044,0,13.285675235499044
0.0031140288483975441,0,0,13.154429233697737,0,13.154429233697737
0.0031150216362981582,0,0,13.02447977987554,0,13.02447977987554
0.0031160144241987719,0,0,12.89581406650376,0,12.89581406650376
0.003117007212099386,0,0,12.768419411196993,0,12.768419411196993
0.0031179999999999116,0,0,12.642283256724291,0,12.642283256724291
0.0031180000000000001,0,0,12.642283256713107,87.357716743286886,12.642283256713107
0.0031184000000000003,6.9899858328152522,6.9899858328152522,12.605775722487932,87.387234291679249,12.605775722487932
0.0031188000000000001,13.981210065097418,13.981210065097418,12.597321231042635,87.388697558892261,12.597321231042635
0.0031192000000000004,20.971432448909816,20.971432448909816,12.616808236917842,87.362220330633249,12.616808236917842
0.0031196000000000002,27.958422913538552,27.958422913538552,12.66411677702202,87.307924800064441,12.66411677702202
0.0031199999999999119,34.93996156394909,34.93996156394909,12.739118470611816,87.225941567824236,12.739118470611816
0.0031200000000000004,0,34.939961565492474,12.739118470631457,-12.739118470631457,12.739118470631457
0.0031236000000000002,0,25.519845361897154,13.358541200344591,-13.358541200344591,13.358541200344591
0.0031272000000000001,0,15.784937103813331,13.616917258383749,-13.616917258383749,13.616917258383749
0.0031308000000000004,0,5.9967969936479157,13.519361964433966,-13.519361964433966,13.519361964433966
0.0031330360604967969,0,1.1831957635877188e-10,13.285675235516903,-13.285675235516903,13.285675235516903
0.0031330360604968862,0,0,13.285675235505002,0,13.285675235505002
0.003134028848397509,0,0,13.154429233702484,0,13.154429233702484
0.0031350216362981318,0,0,13.024479779879098,0,13.024479779879098
0.0031360144241987546,0,0,12.895814066506153,0,12.895814066506153
0.0031370072120993774,0,0,12.768419411198243,0,12.768419411198243
0.0031379999999999108,0,0,12.642283256724532,0,12.642283256724532
0.0031380000000000002,0,0,12.642283256713238,87.357716743286758,12.642283256713238
0.0031384000000000004,6.9899858328152398,6.9899858328152398,12.605775722488064,87.387234291679121,12.605775722488064
0.0031388000000000002,13.98121006509739,13.98121006509739,12.597321231042766,87.388697558892133,12.597321231042766
0.0031392000000000004,20.971432448909777,20.971432448909777,12.616808236917974,87.362220330633122,12.616808236917974
0.0031396000000000002,27.958422913538499,27.958422913538499,12.66411677702215,87.307924800064313,12.66411677702215
0.0031399999999999111,34.939961563933899,34.939961563933899,12.739118470611754,87.225941567824307,12.739118470611754
