"Time","Ig:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0050696000000000439,0,10,-10,10
0.0050714000000000288,0,10,-10,10
0.0050732000000000147,0,10,-10,10
0.0050749999999998565,0,10,-10,10
0.0050750000000000005,0,10,-10,10
0.0050760000000000007,0,10,-10,10
0.0050770000000000008,0,10,-10,10
0.005078,0,10,-10,10
0.0050790000000000002,0,10,-10,10
0.0050799999999998563,0,10,-10,10
0.0050800000000000003,0,10,-10,10
0.0050810000000000004,0,10,-10,10
0.0050820000000000006,0,10,-10,10
0.0050829999999999998,0,10,-10,10
0.005084,0,10,-10,10
0.005084000000000144,10,10,90,10
0.005084200000000115,10,10,90,10
0.0050844000000000861,10,10,90,10
0.005084600000000058,10,10,90,10
0.0050848000000000291,10,10,90,10
0.0050849999999998553,10,10,90,10
0.0050850000000000001,10,10,90,10
0.0050859999999999283,10,10,90,10
0.0050860000000000722,0,10,-10,10
0.0050878000000000581,0,10,-10,10
0.0050896000000000439,0,10,-10,10
0.0050914000000000289,0,10,-10,10
0.0050932000000000147,0,10,-10,10
0.0050949999999998557,0,10,-10,10
0.0050950000000000006,0,10,-10,10
0.0050960000000000007,0,10,-10,10
0.0050970000000000008,0,10,-10,10
0.0050980000000000001,0,10,-10,10
0.0050990000000000002,0,10,-10,10
0.0050999999999998555,0,10,-10,10
0.0051000000000000004,0,10,-10,10
0.0051010000000000005,0,10,-10,10
0.0051020000000000006,0,10,-10,10
0.0051029999999999999,0,10,-10,10
0.005104,0,10,-10,10
0.0051040000000001457,10,10,90,10
0.0051042000000001168,10,10,90,10
0.0051044000000000879,10,10,90,10
0.005104600000000058,10,10,90,10
0.0051048000000000291,10,10,90,10
0.0051049999999998553,10,10,90,10
0.0051050000000000002,10,10,90,10
0.0051059999999999274,10,10,90,10
0.0051060000000000732,0,10,-10,10
0.005107800000000059,0,10,-10,10
0.005109600000000044,0,10,-10,10
0.0051114000000000298,0,10,-10,10
0.0051132000000000148,0,10,-10,10
0.0051149999999998549,0,10,-10,10
0.0051150000000000006,0,10,-10,10
