,t,Vinj_9V,Vdd_9V
16578,2.854e-06,0.005639999999999998,0.984
16579,2.858e-06,0.005599999999999999,0.992
16580,2.858e-06,0.005639999999999998,1.0
16581,2.8620000000000003e-06,0.005679999999999999,1.008
16582,2.864e-06,0.005479999999999998,1.016
16583,2.864e-06,0.005639999999999999,1.024
16584,2.8680000000000003e-06,0.005839999999999999,1.0239999999999998
16585,2.87e-06,0.005839999999999999,1.032
16586,2.87e-06,0.005679999999999999,1.0399999999999998
16587,2.8740000000000004e-06,0.005679999999999999,1.04
16588,2.876e-06,0.005679999999999999,1.0399999999999998
16589,2.876e-06,0.005719999999999998,1.04
16590,2.8800000000000004e-06,0.005519999999999999,1.0399999999999998
16591,2.882e-06,0.005679999999999999,1.04
16592,2.882e-06,0.005679999999999998,1.0399999999999998
16593,2.886e-06,0.005519999999999999,1.04
16594,2.886e-06,0.005479999999999998,1.0399999999999998
16595,2.888e-06,0.005279999999999998,1.04
16596,2.892e-06,0.005479999999999999,1.0399999999999998
16597,2.892e-06,0.005679999999999998,1.04
16598,2.8960000000000003e-06,0.005519999999999999,1.0399999999999998
16599,2.898e-06,0.005479999999999999,1.04
16600,2.898e-06,0.005639999999999998,1.0399999999999998
16601,2.9020000000000003e-06,0.005559999999999998,1.04
16602,2.904e-06,0.005999999999999998,1.0399999999999998
16603,2.904e-06,0.006159999999999998,1.04
16604,2.9080000000000004e-06,0.006559999999999998,1.0399999999999998
16605,2.91e-06,0.007199999999999998,1.04
16606,2.91e-06,0.007559999999999997,1.0399999999999998
16607,2.9140000000000004e-06,0.007719999999999999,1.032
16608,2.916e-06,0.007719999999999999,1.0240000000000002
16609,2.916e-06,0.0073599999999999985,1.024
16610,2.92e-06,0.006439999999999999,1.032
16611,2.92e-06,0.005199999999999998,1.048
16612,2.922e-06,0.003599999999999999,1.072
16613,2.926e-06,0.0024799999999999987,1.096
16614,2.926e-06,0.0015199999999999983,1.1360000000000001
16615,2.9300000000000003e-06,0.0014399999999999984,1.16
16616,2.932e-06,0.0018399999999999985,1.176
16617,2.932e-06,0.0024399999999999986,1.184
16618,2.9360000000000003e-06,0.0029999999999999983,1.176
16619,2.938e-06,0.0035599999999999985,1.16
16620,2.938e-06,0.004479999999999999,1.1440000000000001
16621,2.9420000000000004e-06,0.005639999999999998,1.128
16622,2.944e-06,0.006399999999999999,1.112
16623,2.944e-06,0.006959999999999998,1.1119999999999999
16624,2.948e-06,0.007719999999999999,1.096
16625,2.95e-06,0.007919999999999998,1.096
16626,2.95e-06,0.00828,1.0879999999999999
16627,2.954e-06,0.008639999999999998,1.088
16628,2.954e-06,0.008999999999999998,1.0959999999999999
16629,2.956e-06,0.009479999999999999,1.096
16630,2.96e-06,0.009999999999999998,1.0879999999999999
16631,2.96e-06,0.010199999999999997,1.072
16632,2.9640000000000003e-06,0.01032,1.064
16633,2.966e-06,0.009999999999999998,1.056
16634,2.966e-06,0.008839999999999997,1.056
16635,2.9700000000000004e-06,0.007559999999999999,1.0719999999999998
16636,2.972e-06,0.006239999999999998,1.104
16637,2.972e-06,0.005199999999999998,1.128
16638,2.9760000000000004e-06,0.004719999999999998,1.152
16639,2.978e-06,0.0043199999999999975,1.176
16640,2.978e-06,0.003799999999999998,1.1919999999999997
16641,2.982e-06,0.0031199999999999978,1.208
16642,2.984e-06,0.002639999999999998,1.216
16643,2.984e-06,0.002199999999999998,1.216
16644,2.988e-06,0.001999999999999998,1.216
16645,2.988e-06,0.001999999999999998,1.216
16646,2.99e-06,0.0017999999999999982,1.224
16647,2.994e-06,0.0019599999999999978,1.24
16648,2.994e-06,0.0024399999999999977,1.2399999999999998
16649,2.9980000000000003e-06,0.002839999999999998,1.232
16650,3e-06,0.0035999999999999977,1.232
16651,3e-06,0.004639999999999997,1.224
16652,3.0040000000000004e-06,0.005559999999999998,1.216
16653,3.006e-06,0.006199999999999998,1.208
16654,3.006e-06,0.006799999999999998,1.208
16655,3.01e-06,0.007279999999999999,1.2080000000000002
16656,3.012e-06,0.007839999999999998,1.2
16657,3.012e-06,0.008359999999999998,1.184
16658,3.016e-06,0.0084,1.184
16659,3.018e-06,0.008519999999999998,1.184
16660,3.018e-06,0.008519999999999996,1.184
16661,3.022e-06,0.008799999999999999,1.184
16662,3.022e-06,0.008599999999999998,1.184
16663,3.024e-06,0.008599999999999998,1.184
16664,3.028e-06,0.008479999999999998,1.184
16665,3.028e-06,0.008039999999999999,1.184
16666,3.0320000000000004e-06,0.007399999999999999,1.192
16667,3.034e-06,0.006439999999999999,1.216
16668,3.034e-06,0.005839999999999998,1.2240000000000002
16669,3.0380000000000004e-06,0.005519999999999999,1.24
16670,3.04e-06,0.005039999999999998,1.2479999999999998
16671,3.04e-06,0.004759999999999999,1.264
16672,3.044e-06,0.005159999999999998,1.264
16673,3.046e-06,0.005479999999999998,1.264
16674,3.046e-06,0.005399999999999998,1.256
16675,3.05e-06,0.005079999999999998,1.24
16676,3.052e-06,0.004959999999999998,1.232
16677,3.052e-06,0.004639999999999998,1.232
16678,3.056e-06,0.004279999999999998,1.2559999999999998
16679,3.058e-06,0.003999999999999998,1.28
16680,3.058e-06,0.004239999999999998,1.296
16681,3.062e-06,0.004639999999999998,1.3039999999999998
16682,3.062e-06,0.004839999999999998,1.312
16683,3.0660000000000004e-06,0.005279999999999998,1.3119999999999998
16684,3.068e-06,0.0060399999999999985,1.304
16685,3.068e-06,0.006839999999999997,1.2959999999999998
16686,3.0720000000000004e-06,0.006959999999999998,1.28
16687,3.074e-06,0.007239999999999999,1.272
16688,3.074e-06,0.007399999999999999,1.264
16689,3.078e-06,0.007479999999999998,1.2639999999999998
16690,3.08e-06,0.007359999999999997,1.264
16691,3.08e-06,0.006959999999999998,1.264
16692,3.084e-06,0.007159999999999998,1.2719999999999998
16693,3.086e-06,0.007199999999999998,1.272
16694,3.086e-06,0.0069999999999999975,1.2719999999999998
16695,3.09e-06,0.006959999999999997,1.272
16696,3.092e-06,0.007039999999999999,1.2719999999999998
16697,3.092e-06,0.006959999999999998,1.2719999999999998
16698,3.096e-06,0.006599999999999997,1.272
16699,3.096e-06,0.006159999999999998,1.272
16700,3.0980000000000002e-06,0.005959999999999998,1.2879999999999998
16701,3.102e-06,0.005879999999999998,1.296
16702,3.102e-06,0.005279999999999998,1.296
16703,3.106e-06,0.004959999999999997,1.3039999999999998
16704,3.108e-06,0.0049999999999999975,1.3199999999999998
16705,3.108e-06,0.005119999999999998,1.3279999999999998
16706,3.112e-06,0.005119999999999998,1.3439999999999999
16707,3.114e-06,0.004839999999999998,1.344
16708,3.114e-06,0.0049999999999999975,1.3439999999999999
16709,3.118e-06,0.0049999999999999975,1.3519999999999999
16710,3.12e-06,0.004639999999999997,1.3519999999999999
16711,3.12e-06,0.004519999999999998,1.3679999999999999
16712,3.124e-06,0.004799999999999998,1.376
16713,3.1260000000000002e-06,0.005119999999999998,1.376
16714,3.1260000000000002e-06,0.005559999999999998,1.3679999999999999
16715,3.13e-06,0.005839999999999998,1.3599999999999999
16716,3.13e-06,0.006239999999999997,1.344
