Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
392.4401210072382,-0.384656617045743,-0.0902595163281479,-5.477914161174848
409.0407107179982,-0.3707021069217445,-0.1071968283849762,-5.510140296083222
426.3435211345256,-0.3837904999924865,-0.0929513859144431,-5.951520435444436
444.3782568593789,-0.3887416191036218,-0.09246846511098511,-6.189175023088893
463.1758790280082,-0.3932302105479112,-0.08579184936496108,-6.4648535002122
482.7686584612883,-0.3751347417704167,-0.128772788175724,-6.664409037335055
503.1902310664553,-0.4007571013045567,-0.123206977407008,-6.806870768740481
524.4756555815562,-0.3563549329661841,-0.1473386541557714,-7.082902777268274
546.6614737625438,-0.349319044796111,-0.170759869602885,-7.30720018603904
569.7857731163404,-0.3643121036190076,-0.1683738865844644,-7.411116755436041
593.8882522875714,-0.3773687564578797,-0.1610912998742082,-7.853165261682435
619.0102892112237,-0.3741166815016462,-0.1880762581172697,-8.049368929256474
645.1950121482167,-0.3758305299143005,-0.2113518162888508,-8.41407327100454
672.4873737258538,-0.3619510799853412,-0.2256118403423628,-8.860576250719753
700.9342281102546,-0.3524075746047072,-0.2429618497108643,-9.029436990717983
730.584411443248,-0.3439230410062978,-0.2712307562916738,-9.260810553244255
761.4888256818282,-0.3742702038476551,-0.25220592257923,-9.802611462550175
793.7005259841002,-0.3655471590376725,-0.2680004581939737,-9.98218884940421
827.2748117917272,-0.3301178453171577,-0.2897071624758896,-10.4739112085237
862.2693217652554,-0.3664070725411364,-0.3020225795916934,-10.70177086826349
898.7441327352996,-0.3589197513779696,-0.3049221046847528,-11.16516745864574
936.7618628394459,-0.3122021137639436,-0.3924558426417693,-11.62959184280076
976.3877790219507,-0.3435462254110516,-0.3907578335971608,-12.14474175508578
1017.68990908078,-0.3158281758339751,-0.4498772631869988,-12.17778450892061
1060.73915845434,-0.349440474904093,-0.393927970992799,-12.78010376315702
1105.609431948401,-0.3774546076278,-0.4322030998588136,-13.27579472938869
1152.377760612186,-0.3476988911248288,-0.4347791861331718,-13.59554475422628
