Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1477.589065435017,-11.16488360368345,10.28319511599778,-85.91514506415022
1540.092485761756,-10.98368422779637,10.05880250304708,-86.89403839822033
1605.239860110578,-10.63633052354033,9.730956708563653,-86.3123627824036
1673.14303024685,-10.33797266091686,9.401239722847365,-86.32679397491401
1743.918568948799,-10.14308374579111,9.192732643025201,-87.29656177262358
1817.687980133853,-9.765349677301504,8.788263120197412,-87.42540524960975
1894.577907450499,-9.524186799622351,8.535181010741212,-87.44045552563145
1974.720351693797,-9.263054341554049,8.274353092784125,-87.52976100637352
2058.252897417765,-8.976383266527295,7.928740410235259,-88.37287247363847
2145.318949133678,-8.68163145823895,7.644047457374603,-88.72372554170907
2236.067977499791,-8.472080572472535,7.43590548515343,-88.69233612462298
2330.655775925117,-8.091115729094421,6.998417862470623,-90.04874140280751
2429.244728027779,-7.86068445563874,6.803568581715659,-89.71229898611992
2532.004086407124,-7.490709859253942,6.384149160844733,-90.40220369221127
2639.110263208136,-7.219457089241149,6.084532948396999,-91.94893174591199
2750.747132977031,-7.01547899318434,5.87065657012786,-92.42074206907823
2867.106348327898,-6.688072127453788,5.58858774850552,-93.56507194733848
2988.38766896236,-6.420716691374798,5.258006622101073,-94.05395928193136
3114.799304607086,-6.088536743630949,4.917975342505496,-94.45919797909738
3246.558272457852,-5.758211346151624,4.531732012839201,-95.52412248192496
3383.890769743857,-5.483550654607,4.300294760330984,-96.11179179489872
3527.032562051862,-5.243746485093133,4.044395884964865,-96.72741675709786
3676.229388076776,-4.909406224460705,3.708238486480329,-97.98416837626201
3831.737381493625,-4.602619196112805,3.391423030031962,-98.72640292078499
3993.823510675062,-4.233532281856292,3.010797298958546,-99.75484763198857
4162.766037009368,-4.017187870713145,2.763736375059294,-100.4994150321184
4338.854992605741,-3.682026652072715,2.385201900530499,-101.0139074865771
4522.392678206958,-3.379584288416229,2.098201740353264,-102.3671732597618
4713.694182164233,-3.059957573137657,1.809375104523896,-103.8004700300098
4913.087921365179,-2.754186550499824,1.455174936335448,-104.8643416736876
5120.916205043567,-2.407523883735649,1.150723833912719,-105.9952594347843
5337.53582243876,-2.154244736536624,0.8389110285854764,-106.9667654457567
5563.318655313677,-1.801565646572673,0.4715290207076042,-108.2045844733896
5798.652316382892,-1.478562178525693,0.1321418437590737,-109.3405992522251
6043.940814746816,-1.156524326746227,-0.2294341937893118,-111.1632117636954
6299.605249474367,-0.8735022853514174,-0.58160407330374,-112.6606322830951
6566.084532524903,-0.5685988151121817,-0.8259852986099172,-113.8062677609669
6843.836142250362,-0.2045325925749451,-1.196032096390559,-115.4933151290078
7133.336908771306,0.05259152266845694,-1.519120654057879,-117.0019616934257
7435.083832575129,0.3668205410954779,-1.883349436026583,-118.6319954804315
7749.594937741685,0.6747900479931779,-2.257163537577926,-120.3339375667229
8077.410161261253,0.9463237854748958,-2.521388725038343,-121.8549868986316
8419.092279971408,1.254516059457461,-2.901651213515909,-123.3764079709458
8775.227876704274,1.492482662437438,-3.184910093734374,-125.2782360574411
9146.428347302706,1.775555800980925,-3.559215481557616,-127.4834157608494
9533.33095023416,2.050399373447417,-3.890652516921269,-129.0376013885921
9936.599900604322,2.339355955678342,-4.185468779393004,-131.719514521914
10356.92751044845,2.615219111123463,-4.54084993882794,-133.9588449180172
10795.03537725818,2.784562316760215,-4.894510298942195,-135.6379739056253
11251.6756227842,2.979458135640562,-5.30919977798532,-138.4794300401683
11727.63218424127,3.171715215149475,-5.52149685789205,-140.5361944604225
12223.72216013265,3.269049381534093,-5.916515184914349,-142.4730445351882
12740.79721300408,3.544510933095226,-6.170478761105932,-146.4782746025531
13279.74503153555,3.560482675370419,-6.652277295427655,-148.6122570226809
