Time (s),Channel 1 (V),Channel 2 (V)
-0.002437618257713249,-0.4548749777487938,-9.852362912102546
-0.002436988257713249,-0.456541229307158,-9.965394411089436
-0.002436358257713249,-0.4568744796188307,-10.05290266836957
-0.002435728257713249,-0.4572077299305032,-10.14041092564966
-0.002435098257713249,-0.4578742305538487,-10.20239594122313
-0.002434468257713249,-0.4582074808655216,-10.25708860202323
-0.002433838257713249,-0.4585407311771941,-10.28990419850326
-0.002433208257713249,-0.4585407311771941,-10.32636597236998
-0.002432578257713249,-0.4592072318005392,-10.34095068191667
-0.002431948257713249,-0.4585407311771941,-10.34095068191667
-0.002431318257713249,-0.4585407311771941,-10.32271979498331
-0.002430688257713249,-0.4575409802421765,-10.30084273066329
-0.002430058257713249,-0.4572077299305033,-10.26438095679656
-0.002429428257713249,-0.4558747286838123,-10.22427300554314
-0.002428798257713249,-0.4552082280604673,-10.18416505428977
-0.002428168257713249,-0.4562079789954853,-10.12218003871634
-0.002427538257713249,-0.452875475878758,-10.10030297439629
-0.002426908257713249,-0.4518757249437405,-10.05654884575624
-0.002426278257713249,-0.4512092243203951,-10.0091485397295
-0.002425648257713249,-0.4508759740087226,-9.965394411089456
-0.002425018257713249,-0.4508759740087224,-9.925286459836041
-0.002424388257713249,-0.4505427236970496,-9.881532331195954
-0.002423758257713249,-0.450209473385377,-9.834132025169238
-0.002423128257713249,-0.450209473385377,-9.786731719142498
-0.002422498257713249,-0.4498762230737042,-9.739331413115739
-0.002421868257713249,-0.4495429727620316,-9.691931107089021
-0.002421238257713249,-0.4485432218270136,-9.648176978448955
-0.002420608257713249,-0.4485432218270136,-9.608069027195578
-0.002419978257713249,-0.4525422255670858,-9.60806902719556
-0.002419348257713249,-0.4515424746320678,-9.73933141311576
-0.002418718257713249,-0.4528754758787585,-9.877886153809303
-0.002418088257713249,-0.4538752268137766,-10.00185618495616
-0.002417458257713249,-0.4545417274371225,-10.11853386132971
-0.002416828257713249,-0.4558747286838126,-10.20968829599647
-0.002416198257713249,-0.456541229307158,-10.29355037588993
-0.002415568257713249,-0.4568744796188305,-10.36282774623668
-0.002414938257713249,-0.4572077299305033,-10.41752040703679
-0.002414308257713249,-0.4578742305538487,-10.46492071306353
-0.002413678257713249,-0.4585407311771941,-10.49044395477023
-0.002413048257713249,-0.4588739814888668,-10.50138248693025
-0.002412418257713249,-0.4578742305538486,-10.50502866431692
-0.002411788257713249,-0.457540980242176,-10.50138248693025
-0.002411158257713249,-0.4568744796188307,-10.48315159999689
-0.002410528257713249,-0.4565412293071582,-10.44668982613018
-0.002409898257713249,-0.45554147837214,-10.39928952010343
-0.002409268257713249,-0.4535419765021039,-10.36647392362338
-0.002408638257713249,-0.4542084771254489,-10.30448890804998
-0.002408008257713249,-0.4522089752554131,-10.2716733115699
-0.002407378257713249,-0.4515424746320678,-10.23156536031649
-0.002406748257713249,-0.4515424746320678,-10.19145740906311
-0.002406118257713249,-0.4515424746320678,-10.14405710303637
-0.002405488257713249,-0.4512092243203952,-10.09665679700966
-0.002404858257713249,-0.450209473385377,-10.05290266836957
-0.002404228257713249,-0.450209473385377,-10.0091485397295
-0.002403598257713249,-0.4495429727620319,-9.961748233702785
-0.002402968257713249,-0.4488764721386863,-9.910701750289354
-0.002402338257713249,-0.4485432218270133,-9.863301444262593
-0.002401708257713249,-0.4478767212036682,-9.815901138235876
-0.002401078257713249,-0.4475434708919956,-9.775793186982481
-0.002400448257713249,-0.4502094733853758,-9.746623767889115
-0.002399818257713249,-0.4512092243203951,-9.845070557329253
-0.002399188257713249,-0.4522089752554131,-9.976332943249453
-0.002398558257713249,-0.4542084771254483,-10.10394915178292
-0.002397928257713249,-0.4545417274371219,-10.20968829599647
-0.002397298257713249,-0.4545417274371221,-10.31178126282333
-0.002396668257713249,-0.4548749777487946,-10.39564334271676
-0.002396038257713249,-0.45554147837214,-10.47221306783687
-0.002395408257713249,-0.4565412293071585,-10.51961337386363
-0.002394778257713249,-0.457540980242176,-10.56336750250368
-0.002394148257713249,-0.4572077299305033,-10.58889074421038
-0.002393518257713249,-0.4568744796188309,-10.59982927637039
-0.002392888257713249,-0.456541229307158,-10.5998292763704
-0.002392258257713249,-0.4562079789954852,-10.59618309898372
-0.002391628257713249,-0.4558747286838126,-10.57065985727702
-0.002390998257713249,-0.4558747286838126,-10.5341980834103
-0.002390368257713249,-0.4542084771254489,-10.49409013215689
-0.002389738257713249,-0.4535419765021039,-10.45398218090351
-0.002389108257713249,-0.4542084771254492,-10.39564334271676
-0.002388478257713249,-0.4518757249437415,-10.35918156885005
