,Time (s),Channel 1 (V),Channel 2 (V),Ch2_moving_average
1366,-0.0017194182577132,-0.4372361065989775,9.458575754342,9.148861243218942
1367,-0.0017187882577132,-0.4372361065989775,9.484098996048704,9.149131060345555
1368,-0.0017181582577132,-0.4365696059756321,9.502329882982066,9.149391762028703
1369,-0.0017175282577132,-0.4365696059756321,9.505976060368738,9.149643348268384
1370,-0.0017168982577132,-0.4362363556639595,9.49503752820872,9.149885819064597
1371,-0.0017162682577132,-0.4362363556639595,9.480452818662032,9.150112185910686
1372,-0.0017156382577132,-0.4362363556639595,9.443991044795313,9.150322448806651
1373,-0.0017150082577132,-0.4372361065989775,9.41117544831526,9.15051660775249
1374,-0.0017143782577132,-0.4395688587806862,9.382006029221884,9.150694662748206
1375,-0.0017137482577132,-0.4389023581573409,9.334605723195144,9.150856613793797
1376,-0.0017131182577132,-0.4395688587806862,9.294497771941748,9.151002460889265
1377,-0.0017124882577132,-0.4395688587806862,9.250743643301684,9.151132286902275
1378,-0.0017118582577132,-0.4395688587806862,9.199697159888274,9.15124609183283
1379,-0.0017112282577132,-0.4419016109623951,9.181466272954912,9.151343875680928
1380,-0.0017105982577132,-0.4422348612740677,9.148650676474862,9.151425638446566
1381,-0.0017099682577132,-0.4429013618974131,9.104896547834796,9.15149138012975
1382,-0.0017093382577132,-0.4425681115857404,9.068434773968074,9.151541100730478
1383,-0.0017087082577132,-0.4429013618974131,9.028326822714678,9.151576319489326
1384,-0.0017080782577132,-0.4432346122090858,8.988218871461285,9.151597036406294
1385,-0.0017074482577132,-0.4442343631441038,8.94811092020789,9.151603251481387
1386,-0.0017068182577132,-0.4442343631441038,8.908002968954497,9.151594964714599
1387,-0.0017061882577132,-0.4439011128324312,8.867895017701102,9.151572176105931
1388,-0.0017055582577132,-0.4439011128324312,8.827787066447708,9.151541183598146
1389,-0.0017049282577132,-0.4412351103390497,8.802263824741003,9.151501987191239
1390,-0.0017042982577132,-0.4399021090923589,8.886125904634463,9.151454586885212
1391,-0.0017036682577132,-0.4382358575339955,8.991865048847957,9.151398982680066
1392,-0.0017030382577132,-0.4372361065989775,9.097604193061452,9.151335174575799
1393,-0.0017024082577132,-0.4355698550406141,9.185112450341585,9.151263162572413
1394,-0.0017017782577132,-0.434570104105596,9.272620707621718,9.151182946669904
1395,-0.0017011482577132,-0.4339036034822507,9.334605723195144,9.151094526868278
1396,-0.0017005182577132,-0.4329038525472326,9.396590738768571,9.15099790316753
1397,-0.0016998882577132,-0.4322373519238872,9.433052512635294,9.150893075567664
1398,-0.0016992582577132,-0.4315708513005419,9.465868109115345,9.150780044068677
1399,-0.0016986282577132,-0.4312376009888692,9.487745173435377,9.15065880867057
1400,-0.0016979982577132,-0.4305711003655238,9.498683705595392,9.150529369373347
1401,-0.0016973682577132,-0.4309043506771965,9.491391350822049,9.150391726176998
1402,-0.0016967382577132,-0.4309043506771965,9.480452818662032,9.15024587908153
1403,-0.0016961082577132,-0.4312376009888692,9.454929576955328,9.150093071101962
1404,-0.0016954782577132,-0.4309043506771965,9.418467803088603,9.14993330223829
1405,-0.0016948482577132,-0.4325706022355599,9.385652206608556,9.149766572490519
1406,-0.0016942182577132,-0.4332371028589053,9.349190432741834,9.149592881858645
1407,-0.0016935882577132,-0.433570353170578,9.301790126715094,9.14941223034267
1408,-0.0016929582577132,-0.434570104105596,9.268974530235043,9.149223706398244
1409,-0.0016923282577132,-0.433570353170578,9.21428186943496,9.149027310025371
1410,-0.0016916982577132,-0.4349033544172687,9.181466272954912,9.148823041224048
1411,-0.0016910682577132,-0.4365696059756321,9.155943031248206,9.14861089999428
1412,-0.0016904382577132,-0.4369028562873048,9.119481257381484,9.148390886336061
1413,-0.0016898082577132,-0.4372361065989775,9.07937330612809,9.148163000249394
1414,-0.0016891782577132,-0.4375693569106502,9.039265354874695,9.147930556440993
1415,-0.0016885482577132,-0.4379026072223228,8.99551122623463,9.14769355491086
1416,-0.0016879182577132,-0.4382358575339955,8.955403274981235,9.147451995658992
1417,-0.0016872882577132,-0.4382358575339955,8.922587678501186,9.14720587868539
1418,-0.0016866582577132,-0.4382358575339955,8.882479727247791,9.146955203990057
