Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
761.4888256818283,-17.97184023731823,17.29638672979097,-106.1702313535128
793.7005259841003,-17.92913511994109,17.26401780343329,-106.9787467802052
827.2748117917273,-17.41179285475102,16.77147024072011,-106.465441880171
862.2693217652555,-16.83460938320016,16.22831369028128,-108.3429212704043
898.7441327352997,-16.48169083634719,15.89441275546062,-110.413996493081
936.7618628394461,-15.93515524345511,15.38156982578986,-110.0782600510896
976.3877790219508,-15.54650279261248,15.02541057226212,-109.4113351225751
1017.68990908078,-15.07347206299895,14.59439989802194,-112.9223386443141
1060.73915845434,-14.55898928671621,14.1518309014315,-111.1864474513692
1105.609431948402,-14.02678374660837,13.64187733399252,-113.3145567336014
1152.377760612186,-13.69664523723607,13.37731319544878,-113.689163856268
1201.124433981432,-13.23951522505171,12.99202966050144,-115.33721135295
1251.93313791547,-12.58008202704586,12.32508580526472,-116.1282664063918
1304.891098264931,-12.03031680510669,11.86035653777257,-116.8274583214192
1360.089230616744,-11.48489755061554,11.38520484025144,-117.551873451738
1417.622296373483,-11.17550414347953,11.12442789594256,-119.1909384414299
1477.589065435017,-10.52066675491418,10.56602464949119,-119.7251104367171
1540.092485761756,-9.941020961248864,10.08990987324068,-121.0830435008896
1605.239860110579,-9.443451394833676,9.697879124043157,-121.7452161467084
1673.143030246851,-8.904150498348194,9.242640348229326,-122.1793153311516
1743.9185689488,-8.293643907472983,8.737953973867516,-122.7663680657534
1817.687980133853,-7.729166411266175,8.281801218032365,-124.109032821001
1894.577907450499,-7.085065276598294,7.741368849408938,-125.2533254461717
1974.720351693797,-6.408106863901583,7.198100985117332,-125.7823052947126
2058.252897417765,-5.797423846796486,6.73169730867331,-126.8811808048895
2145.318949133679,-5.162518592506236,6.232962192666171,-127.9956424983093
2236.067977499792,-4.596073100650745,5.815618605985311,-128.8956602994312
2330.655775925118,-3.82279940915165,5.15915503463162,-129.2778237751133
2429.244728027779,-3.184425510018835,4.653287275760533,-130.5293233944994
2532.004086407124,-2.481927475074606,4.12060461085934,-131.0646805022021
2639.110263208136,-1.856556642612318,3.615356176252499,-131.8034012312937
2750.747132977031,-1.190805638303741,3.031549674654952,-133.1355282573572
2867.106348327899,-0.5415283923343752,2.54495860952576,-134.0184751173019
2988.387668962361,0.06790463065741456,2.007405223475333,-134.5512770342306
3114.799304607087,0.6778252533920563,1.457029750339571,-135.3787242740645
3246.558272457853,1.189440292833754,0.9435806721637631,-136.069219064421
3383.890769743857,1.67640341190038,0.4172969711814777,-137.0703745017539
3527.032562051862,2.144316643703342,-0.1898848509804439,-137.7424182624522
