"Time","Ig:Measured current","Iout:Measured current","Iinductor:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0.0030230567485331023,0,1.5034411182424792,2.4652916355043057,0,8.0183526306265556,18
0.0030242550280240479,0,1.5060812298801385,1.9544366423533086,0,8.0324332260274058,18
0.0030254533075149935,0,1.5068009684568389,1.4430071175757737,0,8.0362718317698079,18
0.0030266515870059386,0,1.5056065302494668,0.93166021100915897,0,8.0299014946638234,18
0.0030278498664968842,0,1.5025064940576036,0.42104721696317915,0,8.0133679683072199,18
0.0030288403357062645,0,1.4985132611708734,5.4622972811557702e-14,0,7.9920707262446573,18
0.0030288403357063504,0,1.498513261170471,0,0,7.9920707262425124,10.007929273757487
0.0030301343208830544,0,1.4924659525774966,0,0,7.9598184137466479,10.040181586253352
0.0030314283060597583,0,1.4864430481247148,0,0,7.9276962566651452,10.072303743334855
0.0030327222912364627,0,1.4804444493408204,0,0,7.8957037298177095,10.10429627018229
0.0030330134878640987,0,1.4790978732693194,0,0,7.8885219907697035,10.111478009230296
0.0030330134878641846,0,1.4790978732689224,0,0,7.8885219907675861,10.111478009232414
0.0030333601975933134,0,1.4774961860407942,0,0,7.8799796588842366,10.120020341115763
0.0030333601975933992,0,1.4774961860403981,0,0,7.8799796588821227,0
0.0030345565596774635,0.64286694712341685,1.4731830976564479,0.64286694712341685,0.032143347356170845,7.8569765208343894,0.032143347356170845
0.0030357529217615283,1.2847511707670374,1.4712833826999341,1.2847511707670374,0.064237558538351877,7.8468447077329824,0.064237558538351877
0.0030369492838455926,1.9248333936674382,1.4717827797335969,1.9248333936674382,0.096241669683371917,7.8495081585791837,0.096241669683371917
0.0030381456459296573,2.5623063620878734,1.4746641668839349,2.5623063620878734,0.12811531810439367,7.8648755567143196,0.12811531810439367
0.0030393420080137216,3.1963748458182719,1.4799075618412036,3.1963748458182719,0.15981874229091361,7.8928403298197534,0.15981874229091361
0.0030405010290005191,3.8066666666440159,1.4872183353222388,3.8066666666440159,0.19033333333220082,7.9318311217186075,0.19033333333220082
0.0030405010290006059,0,1.4872183353228676,3.806666666689523,0,7.9318311217219604,18
0.0030417949268818868,0,1.4954753595052226,3.2599524975475482,0,7.9758685840278538,18
0.0030430888247631677,0,1.5014876757376865,2.7106169323941227,0,8.0079342706009946,18
0.0030433184846212699,0,1.502320203117808,2.6129020990079095,0,8.01237441662831,18
0.0030433184846213567,0,1.5023202031181091,2.612902098970995,0,8.0123744166299158,18
0.0030436651897913212,0,1.5034429106968727,2.4652929985893905,0,8.0183621903833213,18
0.0030436651897914079,0,1.5034429106971332,2.465292998552449,0,8.0183621903847104,18
0.0030448634692919791,0,1.5060830196060206,1.9544373932358154,0,8.0324427712321107,18
0.0030460617487925502,0,1.5068027531630426,1.44300725759799,0,8.0362813502028931,18
0.0030472600282931209,0,1.5056083076600453,0.9316597422645867,0,8.0299109741869081,18
0.003048458307793692,0,1.5025082619143761,0.42104614232384163,0,8.0133773968766722,18
0.0030494487733061138,0,1.4985150367897144,9.7699626167013776e-15,0,7.99208019621181,18
0.0030494487733062005,0,1.4985150367893083,0,0,7.9920801962096437,10.007919803790356
0.0030507427584833416,0,1.4924677210287154,0,0,7.9598278454864815,10.040172154513519
0.0030520367436604832,0,1.4864448094372489,0,0,7.927705650331994,10.072294349668006
0.0030533307288376243,0,1.4804462035434864,0,0,7.8957130855652613,10.104286914434738
