"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage"
0.0057334545405095241,0,1.871677302394319,9.982278946103035
0.0057344455540910425,0,1.8658898385658711,9.9514124723513131
0.0057344455540912056,0,1.8658898385649203,9.9514124723462416
0.0057347922574030562,0,1.8638693389806749,9.9406364745635987
0.0057347922574032192,0,1.8638693389797252,9.9406364745585343
0.0057359912599628839,0.51434797012660638,1.8578603452601872,9.908588508054331
0.0057371902625225485,1.030410250697716,1.8538006477898388,9.8869367882124735
0.0057383892650822131,1.5475187255323017,1.8516882229565748,9.8756705224350654
0.0057395882676418769,2.0650097967401013,1.8515185829762411,9.8747657758732856
0.0057407872702015415,2.5822243847216164,1.8532847758926385,9.884185471427406
0.0057419862727612061,3.0985079281681123,1.8569773855775193,9.9038793897467698
0.0057431852753208707,3.613210384061619,1.8625845317305898,9.9337841692298117
0.0057443842778805354,4.1256862276749322,1.8700918698795088,9.9738233060240464
0.0057447545284071439,4.2833883836946569,1.8727915653833422,9.9882216820444913
0.005744754528407307,0,1.8727915653845706,9.9882216820510425
0.0057451012556771174,0,1.8753024397990217,10.001613012261449
0.0057451012556772804,0,1.8753024398001552,10.001613012267494
0.0057462875578256859,0,1.8823638352576082,10.039273788040576
0.0057474738599740914,0,1.8870587446523714,10.064313304812648
0.0057486601621224969,0,1.8893899635084748,10.076746472045199
0.0057498464642709024,0,1.8893632118060455,10.07660379629891
0.0057510327664193079,0,1.8869871339813113,10.06393138123366
0.0057522190685677143,0,1.8822732989265978,10.038790927608522
0.005752776005259622,0,1.8792579030184493,10.022708816098396
0.005752776005259785,0,1.8792579030174916,10.022708816093289
0.0057540694396603564,0,1.8716773060846137,9.9822789657846069
0.00575506045327816,0,1.8658898420331784,9.9514124908436177
0.0057550604532783231,0,1.8658898420322274,9.9514124908385462
0.0057554071565901737,0,1.8638693424442272,9.9406364930358784
0.0057554071565903368,0,1.8638693424432775,9.940636493030814
0.0057566061591499528,0.51434796893167534,1.8578603487087926,9.9085885264468931
0.005757805161709568,1.0304102483136119,1.8538006512190162,9.8869368065014189
0.0057590041642691841,1.5475187219663404,1.8516882263618832,9.87567054059671
0.0057602031668288001,2.0650097920011334,1.8515185863532877,9.8747657938842011
0.0057614021693884153,2.5822243788200039,1.8532847792370819,9.8841854892644374
0.0057626011719480313,3.0985079211157061,1.8569773888850771,9.9038794073870786
0.0057638001745076474,3.6132103758717355,1.8625845349970422,9.9337841866508914
0.0057649991770672626,4.1256862183623282,1.8700918731007046,9.9738233232037583
0.0057653694275942588,4.2833883742097774,1.872791568592767,9.9882216991614232
0.0057653694275944219,0,1.8727915685939953,9.9882216991679744
0.0057657161548642323,0,1.8753024429945291,10.001613029304155
0.0057657161548643953,0,1.875302442995662,10.001613029310198
0.0057669024570128008,0,1.8823638384030499,10.039273804816267
0.0057680887591612063,0,1.8870587477440235,10.064313321301459
0.0057692750613096118,0,1.8893899665426925,10.076746488227693
0.0057704613634580165,0,1.8893632147792698,10.076603812156106
0.005771647665606422,0,1.8869871368900721,10.063931396747051
0.0057728339677548274,0,1.8822733017675184,10.038790942760098
0.0057733909044161008,0,1.8792579060063002,10.022708832033601
0.0057733909044162656,0,1.8792579060053323,10.022708832028439
0.005774684338816837,0,1.8716773090604024,9.9822789816554796
0.0057756753524652281,0,1.8658898448214121,9.9514125057141971
0.0057756753524653929,0,1.8658898448204511,9.9514125057090723
0.0057760220557772426,0,1.8638693452294366,9.9406365078903285
0.0057760220557774074,0,1.8638693452284767,9.940636507885209
0.0057772210583369819,0.51434796797000337,1.8578603514819798,9.9085885412372257
0.0057784200608965572,1.0304102463948939,1.8538006539765814,9.886936821208435
0.0057796190634561316,1.5475187190964583,1.8516882291002505,9.8756705552013369
0.0057808180660157069,2.0650097881872074,1.8515185890689188,9.8747658083675667
0.0057820170685752813,2.5822243740703708,1.8532847819264799,9.8841855036078936
0.0057832160711348557,3.0985079154399036,1.856977391544792,9.9038794215722241
0.005784415073694431,3.6132103692804822,1.8625845376236747,9.9337842006595984
0.0057856140762540054,4.1256862108675056,1.8700918756909124,9.9738233370181995
0.0057859843267814267,4.2833883666247905,1.8727915711743575,9.9882217129299065
0.0057859843267815915,0,1.8727915711755991,9.9882217129365287
0.0057863310540514851,0,1.8753024455655654,10.001613043016349
0.0057863310540516499,0,1.8753024455667107,10.001613043022457
0.0057875173562000554,0,1.8823638409338246,10.039273818313731
0.00578870365834846,0,1.887058750231527,10.064313334568144
0.0057898899604968655,0,1.889389968983993,10.076746501247962
0.005791076262645271,0,1.889363217171504,10.076603824914688
0.0057922625647936756,0,1.886987139230448,10.063931409229056
0.0057934488669420811,0,1.8822733040533186,10.038790954951033
0.0057940058035785627,0,1.8792579084111625,10.022708844859533
0.0057940058035787275,0,1.8792579084101946,10.022708844854371
0.0057952992379792538,0,1.8716773114558269,9.982278994431077
0.0057962902516542365,0,1.8658898470543774,9.9514125176233463
0.0057962902516544013,0,1.8658898470534164,9.9514125176182215
0.005796636954966251,0,1.8638693474599843,9.9406365197865831
0.0057966369549664158,0,1.8638693474590244,9.9406365197814637
0.0057978359575259547,0.51434796719864984,1.8578603537029192,9.908588553082236
0.0057990349600854944,1.0304102448558854,1.8538006561850131,9.886936832986736
0.0058002339626450333,1.5475187167945041,1.8516882312933012,9.8756705668976057
0.0058014329652045721,2.0650097851280105,1.8515185912437451,9.8747658199666404
0.0058026319677641118,2.5822243702606169,1.8532847840802729,9.8841855150947886
0.0058038309703236507,3.0985079108872422,1.8569773936747802,9.9038794329321611
0.0058050299728831904,3.6132103639935136,1.8625845397271275,9.9337842118780131
0.0058062289754427293,4.1256862048557652,1.8700918777651436,9.9738233480807654
0.0058065992259703509,4.2833883604813838,1.8727915732406242,9.9882217239499962
0.0058065992259705157,0,1.8727915732418658,9.9882217239566184
0.0058069459532403252,0,1.8753024476222473,10.001613053985318
0.00580694595324049,0,1.8753024476233926,10.001613053991427
0.0058081322553888955,0,1.8823638429583058,10.039273829110964
0.0058093185575373001,0,1.8870587522214093,10.06431334518085
0.0058105048596857056,0,1.8893899709369311,10.076746511663632
0.0058116911618341103,0,1.8893632190852072,10.076603835121105
0.0058128774639825158,0,1.886987141102682,10.063931419214304
0.0058140637661309204,0,1.8822733058819092,10.038790964703516
0.0058146207027476434,0,1.8792579103345752,10.022708855117735
0.0058146207027478082,0,1.8792579103336073,10.022708855112572
0.0058159141371483787,0,1.8716773133712208,9.9822790046465109
