"Time","Ig:Measured current","Iout:Measured current","Iinductor:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0.0084649293021786393,0,0.91060214991241772,1.9584334154387761e-13,0,4.8565447995328945,18
0.0084649293021788787,0,0.91060214991173627,0,0,4.8565447995292601,13.14345520047074
0.0084652063053824566,0,0.90981424187866378,0,0,4.8523426233528735,13.147657376647127
0.008465206305382696,0,0.9098142418779831,0,0,4.8523426233492435,13.147657376650756
0.0084655530418824201,0,0.90882894514124302,0,0,4.8470877074199628,13.152912292580037
0.008465553041882741,0,0.90882894514033152,0,0,4.8470877074151018,13.152912292584897
0.0084667545647821151,0,0.90542290984215656,0,0,4.828922185824835,13.171077814175165
0.0084679560876814875,0,0.90202963940264635,0,0,4.8108247434807803,13.189175256519221
0.0084691576105808616,0,0.89864908598794613,0,0,4.7927951252690457,13.207204874730955
0.0084703591334802358,0,0.89528120194069316,0,0,4.7748330770170302,13.22516692298297
0.0084715606563796099,0,0.891925939780017,0,0,4.756938345493424,13.243061654506576
0.0084727621792789823,0,0.88858325220153977,0,0,4.7391106784082124,13.260889321591787
0.0084739637021783564,0,0.88525309207737579,0,0,4.7213498244126706,13.27865017558733
0.0084751652250777305,0,0.88193541245613138,0,0,4.7036555330993677,13.296344466900631
0.0084755153010030154,0,0.88097111390759641,0,0,4.6985126075071806,13.30148739249282
0.0084755153010032547,0,0.88097111390693716,0,0,4.6985126075036652,13.301487392496334
0.0084758620282606237,0,0.88001707867740697,0,0,4.6934244196128372,13.306575580387163
0.0084758620282608631,0,0.88001707867674872,0,0,4.6934244196093262,0
0.0084770483397065884,1.7486698103965375,0.8800013033971239,1.7486698103965375,0.087433490519826879,4.6933402847846608,0.087433490519826879
0.0084782346511523155,3.4836724568459205,0.88643097931988601,3.4836724568459205,0.17418362284229605,4.7276318897060587,0.17418362284229605
0.0084784567883072221,3.8066666666657611,0.88834491438257224,3.8066666666657611,0.19033333333328806,4.7378395433737186,0.19033333333328806
0.0084784567883074615,0,0.88834491438475482,3.8066666670134905,0,4.7378395433853591,18
0.0084797502231405593,0,0.89873858392751393,3.1215683054252779,0,4.7932724476134076,18
0.0084810436579736588,0,0.90631420020948739,2.4295538815943125,0,4.8336757344505994,18
0.0084823370928067566,0,0.9110580083920754,1.7328342629815228,0,4.8589760447577355,18
0.0084836305276398561,0,0.91296546093149455,1.0336009069268206,0,4.8691491249679713,18
0.0084849239624729539,0,0.91204121757877954,0.3340258606491,0,4.8642198270868242,18
0.0084855424784456325,0,0.91060212753431835,1.0480505352461478e-13,0,4.8565446801830312,18
0.0084855424784458754,0,0.91060212753362713,0,0,4.8565446801793444,13.143455319820657
0.0084858194814960378,0,0.90981421995610368,0,0,4.8523425064325529,13.147657493567447
0.0084858194814962807,0,0.90981421995541323,0,0,4.8523425064288705,13.147657493571129
0.0084861662179960048,0,0.90882892324241449,0,0,4.8470875906262103,13.152912409373791
0.0084861662179963274,0,0.90882892324149811,0,0,4.8470875906213235,13.152912409378676
0.0084873677408958889,0,0.90542288802486337,0,0,4.8289220694659383,13.171077930534061
0.0084885692637954504,0,0.90202961766658984,0,0,4.8108246275551458,13.189175372444854
0.0084897707866950101,0,0.89864906433282388,0,0,4.7927950097750607,13.207204990224939
0.0084909723095945716,0,0.89528118036620374,0,0,4.7748329619530869,13.225167038046912
0.0084921738324941331,0,0.89192591828586021,0,0,4.7569382308579211,13.243061769142079
0.0084933753553936946,0,0.88858323078741652,0,0,4.7391105641995548,13.260889435800445
0.0084945768782932543,0,0.88525307074298798,0,0,4.7213497106292692,13.278650289370731
0.0084957784011928158,0,0.88193539120118247,0,0,4.7036554197396399,13.29634458026036
0.0084961284771167562,0,0.88097109267959062,0,0,4.6985124942911503,13.301487505708849
0.0084961284771170893,0,0.8809710926786738,0,0,4.6985124942862599,13.301487505713741
0.0084964752043744634,0,0.880017057472118,0,0,4.6934243065179624,13.306575693482039
0.0084964752043747063,0,0.88001705747145009,0,0,4.6934243065144008,0
0.0084976615158204333,1.7486698252222059,0.88000128229779528,1.7486698252222059,0.087433491261110302,4.6933401722549082,0.087433491261110302
0.0084988478272661587,3.483672486307217,0.88643095838065,3.483672486307217,0.17418362431536086,4.7276317780301333,0.17418362431536086
0.0084990699643987932,3.8066666664905737,0.88834489327618082,3.8066666664905737,0.1903333333245287,4.7378394308062974,0.1903333333245287
0.008499069964399036,0,0.88834489327839505,3.8066666668433431,0,4.7378394308181067,18
0.0085003633992321321,0,0.898738562938177,3.1215683213939576,0,4.7932723356702773,18
0.0085016568340652299,0,0.906314179401562,2.4295539135882418,0,4.8336756234749974,18
0.0085029502688983259,0,0.91105798782914449,1.7328343108369086,0,4.8589759350887709,18
0.0085042437037314237,0,0.91296544067614693,1.0336009704309546,0,4.86914901693945,18
0.0085055371385645197,0,0.91204119769241876,0.33402593954166004,0,4.8642197210262337,18
0.0085061556546967287,0,0.91060210739160308,6.5255800762997751e-11,0,4.8565445727552161,18
0.0085061556546969716,0,0.91060210739091174,0,0,4.8565445727515293,13.143455427248471
0.0085064326576100718,0,0.90981420022050818,0,0,4.8523424011760437,13.147657598823956
0.0085064326576103147,0,0.90981420021981774,0,0,4.8523424011723613,13.147657598827639
0.0085067793941100388,0,0.90882890352819201,0,0,4.8470874854836907,13.152912514516309
