"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage","V_Isense:Measured voltage"
0.0087045496505237033,0.51682526830137687,1.8481440595848089,9.8567683177856473,0.025841263415068844
0.0087057486348026836,1.0337039672457604,1.84413225650002,9.8353720346667739,0.051685198362288021
0.0087069476190816657,1.5499675807547602,1.8420674263632957,9.8243596072709103,0.077498379037738013
0.0087081466033606461,2.0649563512488638,1.8419388201035027,9.8236737072186813,0.10324781756244319
0.0087093455876396265,2.5780192796474353,1.8437333187606471,9.8332443667234504,0.12890096398237177
0.0087105445719186068,3.0885141253687149,1.8474354334858742,9.8529889785913287,0.15442570626843577
0.0087117435561975889,3.595807406329822,1.8530273055414683,9.8828122962211644,0.17979037031649112
0.0087129425404765693,4.0992743989467533,1.8604887063008526,9.9226064336045479,0.20496371994733767
0.0087133129373344262,4.253938524628964,1.8631682525464586,9.9368973469144457,0.2126969262314482
0.0087133129373346725,0,1.8631682525482991,9.9368973469242619,0
0.0087136596646045367,0,1.8656581682253615,9.9501768972019278,0
0.008713659664604783,0,1.8656581682270588,9.9501768972109801,0
0.0087148459666855742,0,1.8726557907325347,9.9874975505735186,0
0.0087160322687663636,0,1.8772992332669891,10.012262577423941,0
0.0087172185708471548,0,1.8795913107707336,10.024486990777246,0
0.008718404872927946,0,1.879537747097292,10.024201317852224,0
0.0087195911750087354,0,1.8771471750134014,10.011451600071474,0
0.0087207774770895266,0,1.87243113619901,9.9862993930613868,0
0.0087213207607223838,0,1.8694988538202018,9.9706605537077433,0
0.0087213207607226301,0,1.8694988538187627,9.9706605537000677,0
0.008722614195120033,0,1.8619576231979573,9.9304406570557724,0
0.0087236188413126522,0,1.8561211378617601,9.8993127352627202,0
0.0087236188413128985,0,1.8561211378603311,9.8993127352550996,0
0.008723965544672696,0,1.8541112161445887,9.8885931527711399,0
0.0087239655446729424,0,1.8541112161431617,9.8885931527635282,0
0.0087251645289519036,0.51682526783823912,1.8481440609222446,9.8567683249186384,0.025841263391911957
0.0087263635132308649,1.033703966323211,1.8441322578299277,9.835372041759614,0.051685198316160558
0.0087275624975098245,1.5499675793771162,1.8420674276839606,9.8243596143144565,0.077498378968855808
0.0087287614817887858,2.0649563494210188,1.8419388214132346,9.8236737142039185,0.10324781747105094
0.008729960466067747,2.5780192773748478,1.8437333200577817,9.8332443736415023,0.12890096386874239
0.0087311594503467083,3.0885141226573976,1.8474354347687747,9.8529889854334645,0.15442570613286988
0.0087323584346256679,3.5958074031863245,1.8530273068085275,9.8828123029788131,0.17979037015931623
0.0087335574189046292,4.0992743953781527,1.8604887075504961,9.9226064402693126,0.20496371976890765
0.0087339278157625207,4.2539385209473863,1.8631682537907099,9.936897353550453,0.21269692604736934
0.0087339278157627705,0,1.8631682537925764,9.9368973535604077,0
0.0087342745430327544,0,1.8656581694650645,9.9501769038136771,0
0.0087342745430331239,0,1.8656581694676109,9.9501769038272574,0
0.0087354608451139151,0,1.8726557919531843,9.9874975570836497,0
0.0087366471471947045,0,1.8772992344662924,10.012262583820226,0
0.0087378334492754957,0,1.8795913119472782,10.024486997052151,0
0.0087390197513562869,0,1.8795377482496995,10.024201323998398,0
0.0087402060534370763,0,1.8771471761403284,10.011451606081751,0
0.0087413923555178675,0,1.87243113729915,9.9862993989288,0
0.0087419356391386354,0,1.8694988549782789,9.9706605598841538,0
0.0087419356391388852,0,1.8694988549768192,9.9706605598763698,0
0.0087432290735361545,0,1.8619576243521179,9.9304406632112947,0
0.008744233719746166,0,1.8561211389114223,9.8993127408609194,0
0.0087442337197464158,0,1.8561211389099737,9.8993127408531922,0
0.008744580423106333,0,1.854111217192401,9.8885931583594715,0
0.0087445804231065828,0,1.8541112171909533,9.8885931583517515,0
0.0087457794073855198,0.51682526747365298,1.84814406196555,9.8567683304829341,0.025841263373682651
0.0087469783916644585,1.0337039655969489,1.8441322588673676,9.835372047292628,0.051685198279847445
0.0087481773759433955,1.549967578292561,1.8420674287141732,9.8243596198089236,0.07749837891462806
0.0087493763602223343,2.0649563479820183,1.8419388224348765,9.8236737196526747,0.10324781739910092
